tx_price,tx_size,tx_direction
34.73,1,-1.0
34.67,100,
34.68,100,
34.67,100,
34.67,100,-1.0
34.67,100,-1.0
34.67,200,-1.0
34.67,100,-1.0
34.67,136,
34.67,100,
34.67,200,1.0
34.67,100,1.0
34.67,100,1.0
34.68,100,-1.0
34.67,14,
34.67,100,
34.67,200,
34.67,100,
34.66,15,
34.6505,15,
34.6421,117,
34.64,100,
34.64,200,1.0
34.64,100,1.0
34.64,7,
34.64,5,
34.67,100,-1.0
34.655,100,
34.67,200,
34.66,100,
34.66,100,
34.67,200,
34.67,200,
34.67,100,
34.67,100,
34.66,100,1.0
34.66,100,1.0
34.67,100,
34.66,900,1.0
34.66,55,
34.67,100,
34.67,100,
34.67,100,
34.68,100,
34.68,100,-1.0
34.68,100,
34.68,100,
34.69,600,-1.0
34.69,500,
34.69,200,
34.69,700,
34.69,100,
34.69,100,
34.7,100,-1.0
34.69,1017,
34.68,100,
34.68,100,1.0
34.69,100,
34.68,100,
34.69,74,
34.69,26,
34.68,100,1.0
34.68,100,1.0
34.68,300,1.0
34.69,100,
34.69,100,-1.0
34.68,100,1.0
34.69,48,-1.0
34.69,100,-1.0
34.69,64,
34.69,36,-1.0
34.69,100,-1.0
34.69,100,
34.6835,50,
34.69,100,-1.0
34.68,200,
34.68,200,
34.68,300,
34.67,100,1.0
34.67,100,
34.68,100,
34.68,200,
34.67,40,1.0
34.67,35,1.0
34.67,40,1.0
34.67,5,1.0
34.73,1,-1.0
34.68,300,
34.68,100,
34.675,100,
34.67,100,1.0
34.67,200,1.0
34.67,51,1.0
34.68,100,
34.68,49,
34.6799,127,
34.67,449,
34.67,100,
34.67,114,
34.67,480,
34.67,100,-1.0
34.67,100,
34.66,393,
34.66,100,
34.67,100,-1.0
34.655,100,
34.655,50,
34.66,100,
34.66,100,1.0
34.67,50,
34.67,150,-1.0
34.66,85,1.0
34.66,15,1.0
34.66,55,1.0
34.66,145,
34.66,25,1.0
34.66,100,
34.66,5,
34.66,70,
34.65,100,1.0
34.66,200,
34.66,100,
34.66,200,
34.66,75,
34.66,55,1.0
34.66,25,1.0
34.66,30,1.0
34.66,15,
34.66,5,
34.66,25,
34.66,5,
34.66,100,
34.66,100,
34.665,100,
34.66,65,
34.66,15,1.0
34.67,15,-1.0
34.66,100,
34.66,100,
34.65,200,1.0
34.66,100,
34.66,85,
34.67,85,-1.0
34.66,800,
34.66,100,
34.66,100,-1.0
34.66,400,
34.66,100,-1.0
34.65,200,
34.65,200,
34.65,100,
34.65,100,
34.64,300,
34.645,100,
34.6453,10,
34.645,200,
34.64,200,
34.65,100,
34.65,300,
34.65,100,
34.65,100,
34.65,200,
34.65,100,
34.65,100,
34.645,200,
34.65,100,1.0
34.645,200,
34.66,800,
34.65,100,
34.66,1700,-1.0
34.65,100,
34.65,100,
34.65,100,
34.65,100,
34.65,100,
34.65,100,
34.65,100,1.0
34.65,100,1.0
34.65,100,
34.65,200,
34.65,100,
34.655,200,
34.6582,100,
34.655,43,
34.65,200,
34.65,200,-1.0
34.65,100,
34.65,100,-1.0
34.65,100,
34.65,100,
34.65,100,
34.65,100,-1.0
34.65,200,
34.65,100,
34.65,100,
34.64,100,1.0
34.64,100,1.0
34.65,39,-1.0
34.645,100,
34.64,100,
34.64,100,
34.64,200,
34.64,100,
34.635999999999996,1000,
34.63,100,1.0
34.63,100,1.0
34.63,100,1.0
34.63,200,1.0
34.6399,82,
34.6,1,1.0
34.63,100,1.0
34.63,100,
34.63,2900,1.0
34.63,207,1.0
34.63,100,
34.63,777,1.0
34.63,100,
34.62,200,
34.62,100,
34.62,100,1.0
34.62,100,
34.62,100,-1.0
34.625,100,-1.0
34.6,2,1.0
34.61,100,1.0
34.6,1,1.0
34.61,300,
34.61,300,
34.61,200,
34.62,100,
34.62,170,-1.0
34.62,100,
34.62,9,
34.62,30,
